player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Bryan Smolinski (C),Ottawa Senators,81,17,31,48,0.59,46,8,https://www.eliteprospects.com/player/8887/bryan-smolinski,2005-06,nhl,Bryan Smolinski,C,FW,0,0.0,0
Petr Prucha (RW/LW),New York Rangers,68,30,17,47,0.69,32,3,https://www.eliteprospects.com/player/8686/petr-prucha,2005-06,nhl,Petr Prucha,RW/LW,FW,0,0.0,0
Nathan Horton (RW),Florida Panthers,71,28,19,47,0.66,89,8,https://www.eliteprospects.com/player/3657/nathan-horton,2005-06,nhl,Nathan Horton,RW,FW,0,0.0,0
Kristian Huselius (LW),totals,78,20,27,47,0.60,40,-9,https://www.eliteprospects.com/player/691/kristian-huselius,2005-06,nhl,Kristian Huselius,LW,FW,0,0.0,0
Paul Mara (D),Phoenix Coyotes,78,15,32,47,0.60,70,-12,https://www.eliteprospects.com/player/8566/paul-mara,2005-06,nhl,Paul Mara,D,DEF,0,0.0,0
Geoff Sanderson (LW),totals,77,25,21,46,0.60,58,-15,https://www.eliteprospects.com/player/8780/geoff-sanderson,2005-06,nhl,Geoff Sanderson,LW,FW,0,0.0,0
Derek Roy (C),Buffalo Sabres,70,18,28,46,0.66,57,1,https://www.eliteprospects.com/player/8810/derek-roy,2005-06,nhl,Derek Roy,C,FW,0,0.0,0
Pierre Turgeon (C),Colorado Avalanche,62,16,30,46,0.74,32,1,https://www.eliteprospects.com/player/8860/pierre-turgeon,2005-06,nhl,Pierre Turgeon,C,FW,0,0.0,0
Joni Pitkänen (D),Philadelphia Flyers,58,13,33,46,0.79,78,22,https://www.eliteprospects.com/player/2697/joni-pitkanen,2005-06,nhl,Joni Pitkänen,D,DEF,0,0.0,0
Andrei Markov (D),Montréal Canadiens,67,10,36,46,0.69,74,13,https://www.eliteprospects.com/player/8579/andrei-markov,2005-06,nhl,Andrei Markov,D,DEF,0,0.0,0
Jay Bouwmeester (D),Florida Panthers,82,5,41,46,0.56,79,1,https://www.eliteprospects.com/player/3659/jay-bouwmeester,2005-06,nhl,Jay Bouwmeester,D,DEF,0,0.0,0
